,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
243,Agua Fria,141_G_PV-3,141,G,PV-3,,Solar PV,,WECC_AZ,Arizona,4,Maricopa,13,4013,0.2,0,2001,9999,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,141.0,33.5561,-112.2153,,,,,,,,,0.0,0.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
244,Horse Mesa,145_G_HM1,145,G,HM1,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0,1927,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
245,Horse Mesa,145_G_HM2,145,G,HM2,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0,1927,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
246,Horse Mesa,145_G_HM3,145,G,HM3,,Hydro,,WECC_AZ,Arizona,4,Maricopa,13,4013,10.0,0,1927,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,145.0,33.5907,-111.344,,,,,,,,,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
247,Horse Mesa,145_G_HM4,145,G,HM4,,Pumped Storage,,WECC_AZ,Arizona,4,Maricopa,13,4013,119.0,0,1972,9999,,,N,Pumped Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Pumped Storage,145.0,33.5907,-111.344,,,952.0,119.0,119.0,,0.81,0.0,0.0,0.0,POINT (-111.344 33.5907),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
248,Kyrene,147_G_KY4,147,G,KY4,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,59.0,25000,1971,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,1.0,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,147.0,33.3556,-111.9353,,,,,,,,,2.381000415400321,117.0,POINT (-111.9353 33.3556),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
249,Kyrene,147_G_KY5,147,G,KY5,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,53.0,25000,1973,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,147.0,33.3556,-111.9353,,,,,,,,,2.381000415400321,117.0,POINT (-111.9353 33.3556),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
250,Kyrene,147_G_KY6,147,G,KY6,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,53.0,25000,1973,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,147.0,33.3556,-111.9353,,,,,,,,,2.381000415400321,117.0,POINT (-111.9353 33.3556),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
251,Kyrene,147_G_KY7,147,G,KY7,91.0,Combined Cycle,,WECC_AZ,Arizona,4,Maricopa,13,4013,148.0,7510,2002,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.00883,0.00883,0.00883,0.00883,,,,,,,,,,,,Natural Gas,147.0,33.3556,-111.9353,,,,,,,,,2.381000415400321,117.0,POINT (-111.9353 33.3556),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
252,Kyrene,147_G_KY7A,147,G,KY7A,,Combined Cycle,,WECC_AZ,Arizona,4,Maricopa,13,4013,106.0,7510,2002,9999,,,N,Natural Gas,,,,DLNB,SCR,2002.0,,,,,,,,0.00883,0.00883,0.00883,0.00883,,,,,,,,,,,,Natural Gas,147.0,33.3556,-111.9353,,,,,,,,,2.381000415400321,117.0,POINT (-111.9353 33.3556),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
